Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Housing Act Works (was HAW Nuffield),HA01,Non domestic rates,Premises,25/06/2012,3027995,944.04,South Oxfordshire DC (NNDR Only),15148
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,25/06/2012,614143,1978.29,Fairport Convention Ltd,13964
Safer & Stronger Communities Fund,DR05,Professional,Supplies & Services,25/06/2012,614106,664.17,Seven Design Associates,14864
Leisure,LE01,Publicity and promotion costs,Supplies & Services,25/06/2012,614141,676.08,Earth Trust,10491
"HR, IT & customer services",TR02,Staff training,Employees,25/06/2012,614142,960,Advance Business Solutions,12588
Economic Development,ED00,Tourism,Supplies & Services,25/06/2012,613978,22250,Tourism Enterprise and Management Ltd,14203
Didcot Arts Centre,AR04,Waste collection services,Supplies & Services,25/06/2012,614125,742.26,Grundon Waste Management Ltd,10288
Facilities Management,FM01,Electricity,Premises,26/06/2012,3028004,4025.74,Kent County Council,14992
Facilities Management,FM01,Gas,Premises,26/06/2012,3028003,1365.91,Kent County Council,14992
Housing Act Works Refurbishment,X170,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,26/06/2012,614109,750,Monson Engineering Ltd,10466
General Toilets,WC99,Non domestic rates,Premises,26/06/2012,3027964,1237.5,South Oxfordshire DC (NNDR Only),15148
General Toilets,WC99,Non domestic rates,Premises,26/06/2012,3027972,1777.5,South Oxfordshire DC (NNDR Only),15148
General Toilets,WC99,Non domestic rates,Premises,26/06/2012,3027974,753.75,South Oxfordshire DC (NNDR Only),15148
Housing Act Works (was HAW Nuffield),HA01,Non domestic rates,Premises,26/06/2012,3027975,686.25,South Oxfordshire DC (NNDR Only),15148
General Toilets,WC99,Non domestic rates,Premises,26/06/2012,3027979,663.75,South Oxfordshire DC (NNDR Only),15148
General Toilets,WC99,Non domestic rates,Premises,26/06/2012,3027983,663.75,South Oxfordshire DC (NNDR Only),15148
General Toilets,WC99,Non domestic rates,Premises,26/06/2012,3027987,2925,South Oxfordshire DC (NNDR Only),15148
Housing Act Works (was HAW Nuffield),HA01,Non domestic rates,Premises,26/06/2012,3027988,776.25,South Oxfordshire DC (NNDR Only),15148
General Toilets,WC99,Non domestic rates,Premises,26/06/2012,3027989,18091,South Oxfordshire DC (NNDR Only),15148
Commercial Sites,MP11,Repairs and maintenance to land and buildings,Premises,26/06/2012,614152,2230,Butler and Proctor Ltd,13798
Didcot Arts Centre,AR04,Admission Fees,Income,27/06/2012,614164,775.56,Opera Anywhere,14188
Development Management,DN01,Agency staff,Employees,27/06/2012,3027841,1508.22,Champion Recruitment,10148
South Stoke Parish Council,A219,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,27/06/2012,3028025,8598,South Stoke Parish Council,10662
Elections,EL01,Communications - Postages,Supplies & Services,27/06/2012,614158,1177.72,Print Image Network Ltd,14610
Communications & Publicity,TM01,Communications - Postages,Supplies & Services,27/06/2012,3027944,3710.23,Royal Mail Group Ltd,10608
Computer Administration,CE99,Computer Maintenance of hardware,Supplies & Services,27/06/2012,614165,750,Cristie Software Limited,13932
Telecommunications,CE70,Computer Maintenance of hardware,Supplies & Services,27/06/2012,613621,790,Oak Telecom Ltd,12264
Policy Team,PP01,Consultants-Projects,Supplies & Services,27/06/2012,614127,2931.5,Earth Trust,10491
Town Centre Initiatives,X197,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,27/06/2012,613916,761.17,Seven Design Associates,14864
Rent Deposit Scheme,HM02,Nightly Paid Accomodation,Supplies & Services,27/06/2012,3028013,720,REDACTED - PERSONAL INFORMATION,10535
Rent Deposit Scheme,HM02,Nightly Paid Accomodation,Supplies & Services,27/06/2012,3028021,945,Letting and Property Management,10422
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,27/06/2012,614161,1750,All Electric Productions,15145
Didcot Arts Centre,AR04,Premises service charges,Premises,27/06/2012,614148,8512.15,Hammersons Didcot Ltd,13624
Elections,EL01,Printing External,Supplies & Services,27/06/2012,614157,1387.6,All Shred,14816
Leisure,LE01,Publicity and promotion costs,Supplies & Services,27/06/2012,614163,3363,One Limited,10995
Homelessness Nightly Paid,HM01,Storage Fees,Supplies & Services,27/06/2012,3027918,979.2,Sundry Supplier,99999
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,28/06/2012,3028022,1501.37,Vodafone Limited Corporate,10784
Town Centre Initiatives,X197,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,28/06/2012,613917,914.25,Seven Design Associates,14864
Pension Costs - Compens,PY02,Pensions - Compens,Employees,28/06/2012,3028033,29166.66,Oxfordshire CC,10523
Pension Costs - Compens,PY02,Pensions - Compens,Employees,28/06/2012,3028034,9166.66,Oxfordshire CC,10523
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,28/06/2012,614168,800,Justin Randall,15147
Safer & Stronger Communities Fund,DR05,Professional,Supplies & Services,28/06/2012,614170,2620,SOHA Housing Ltd,10651
Leisure,LE01,Publicity and promotion costs,Supplies & Services,28/06/2012,614171,7500,Earth Trust,10491
Pension Costs - Compens,PY02,Superannuation - ER,Employees,28/06/2012,3028033,20800.62,Oxfordshire CC,10523
Pension Costs - Compens,PY02,Superannuation - ER,Employees,28/06/2012,3028034,1705.88,Oxfordshire CC,10523
Parks and Open Spaces,OP01,Grounds Maintenance Contract,Third Party Payments,29/06/2012,613999,853.35,Horticultural Services by Sodexo,15002
Personnel Administration,AD02,Other employee costs,Employees,29/06/2012,614178,6560,Health Assured Limited,15155
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,29/06/2012,614182,918.43,Avalon Promotions Ltd,14348
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,29/06/2012,614185,750,University of Chichester,13953
Didcot Arts Centre,AR04,Repairs & Maintenance of Fixtures & Fittings,Premises,29/06/2012,614176,801,A C Special Projects Ltd,14583
Garden Waste Scheme,RY03,Capita Contract,Third Party Payments,30/06/2012,614145,3301.17,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,30/06/2012,614212,145178.15,Capita Business Services,10129
Council Tax Admin,RB03,Capita Contract,Third Party Payments,30/06/2012,614212,18633.51,Capita Business Services,10129
Policy Team,PP01,Consultants-Projects,Supplies & Services,30/06/2012,614175,5895,Earth Trust,10491
Policy Team,PP01,Consultants-Projects,Supplies & Services,30/06/2012,614181,650,ValeAg Ltd,15011
Riverside Water Feature,A224,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,30/06/2012,614180,61780.4,Sun Safe Play Systems Ltd,15060
Safer & Stronger Communities Fund,DR05,Professional,Supplies & Services,30/06/2012,614169,8240,Thames Valley Police Authority,10709
Corporate Training,TR12,Staff training,Employees,30/06/2012,614211,871.2,3C Associates Ltd,11607
Commercial Sites,MP11,Non domestic rates,Premises,30/06/2012,3027982,3435,South Oxfordshire DC (NNDR Only),15148
,,,,,,,,
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-03-10,3026232,4196,Aztec Adaptations,14459
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-03-10,611206,1500,Beyond Eternity Promotions,14907
PCs - new and upgrades,X116,Purchase of IT hardware,Appropriations and other non Cipfa Sub Group Accounts,2011-03-10,611253,5957.53,Cristie Data Products Ltd,10182
Emergency Planning,EP01,Purchase of equipment,Supplies & Services,2011-03-10,611126,1332,Dandyå«s Garden Centre,14886
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-03-10,3026233,3338.62,ECLIPSE BUILDING CONTRACTS LTD,10219
Upgrade GIS,A088,Licenced Software purchase and upgrades,Appropriations and other non Cipfa Sub Group Accounts,2011-03-10,611244,14950,ESRI UK Ltd,10238
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-03-10,611207,1000,Grapevine Music Agency,14909
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-03-10,3026230,629.4,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-03-10,3026231,648.96,Mears Home Improvement Limited,14703
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-03-10,3026229,1717,SOHA Housing Ltd,10651
Vale Recharge Holding CC,VR01,Payments to VOWH - Salary costs,Third Party Payments,2011-03-10,611208,477957.57,Vale of White Horse District Council,10774
Other Car Parks,CP99,Materials & consumables,Supplies & Services,2011-04-10,3026240,-1201.2,Bemrose Booth,10084
Other Car Parks,CP99,Materials & consumables,Supplies & Services,2011-04-10,3026237,528.75,Bemrose Booth,10084
Other Car Parks,CP99,Materials & consumables,Supplies & Services,2011-04-10,611236,1365.5,Bemrose Booth,10084
Countryside,FR02,Sub-contracted work non-rechargeable,Supplies & Services,2011-04-10,611214,5875,Earth Trust,10491
Foxhall Manor Park,FM02,Repairs and maintenance to land and buildings,Premises,2011-04-10,611178,1000,Hamblin Watermains Ltd,14504
Didcot Arts Centre,AR04,Premises service charges,Premises,2011-04-10,610993,8036.03,Hammersons Didcot Ltd,13624
Moulsford Parish Council,A182,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-04-10,3026238,14043,Moulsford Parish Council,10471
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,2011-04-10,3026216,1542.89,Vodafone Limited Corporate,10784
Thame Leisure Centre,A222,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-05-10,611173,4121,S J TRELOAR AND ASSOCIATES,10614
Other Car Parks,CP99,Materials & consumables,Supplies & Services,2011-06-10,611247,2376.1,Bemrose Booth,10084
Facilities Management,FM01,Maintenance contracts,Supplies & Services,2011-06-10,611285,595,Energy Solutions,14832
Concessionary Fares Agency,RB06,Fees and hired services,Supplies & Services,2011-06-10,611282,2296.67,Euclid Limited,14292
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2011-06-10,3026252,1540,Letting and Property Management,10422
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-06-10,611286,2092.99,Phil McIntyre Entertainments,13145
Corporate Training,TR12,Staff training,Employees,2011-07-10,611304,3420,Afiniti,12692
General Expenses,AC03,Fees and hired services,Supplies & Services,2011-07-10,611291,3024,Dun and Bradstreet Ltd,10214
Town Centre Initiatives,X197,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2011-07-10,611308,2000,Johnsons Cleaners UK Ltd,14888
Legal,LS01,Fees and hired services,Supplies & Services,2011-07-10,611294,1525,Mrs Suzanne Ware,13369
Pension Costs - Compens,PY02,Pensions - Compens,Employees,2011-07-10,3026243,20324.32,Oxfordshire CC,10523
Pension Costs - Compens,PY02,Superannuation - ER,Employees,2011-07-10,3026243,24583.33,Oxfordshire CC,10523
Legal,LS01,Fees and hired services,Supplies & Services,2011-07-10,611295,1500,Sharpe Pritchard,10629
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,2011-07-10,3026271,3356.01,Sundry Supplier,99999
Commercial Sites,MP11,Other expenses,Supplies & Services,2011-07-10,611306,2500,Tourism Enterprise and Management Ltd,14203
Garden Waste Scheme,RY03,Waste Collection Biffa Fixed All,Third Party Payments,2011-08-10,611318,62570.37,Biffa,10778
Street Cleansing,ST01,Waste Collection Biffa Fixed All,Third Party Payments,2011-08-10,611318,81900.97,Biffa,10778
Refuse Collection Contract,RC01,Waste Collection Biffa Fixed All,Third Party Payments,2011-08-10,611318,109004.05,Biffa,10778
Recycling,RY01,Waste Collection Biffa Fixed All,Third Party Payments,2011-08-10,611318,147577.64,Biffa,10778
Dual Use OCC,X800,GLL,Appropriations and other non Cipfa Sub Group Accounts,2011-08-10,611319,8333,Greenwich Leisure Limited,13867
Accountancy,AC01,Consultation costs,Supplies & Services,2011-08-10,611312,1370,Mrs Lynda Weston,14378
EH - Env Protection,EH06,Consultants-Projects,Supplies & Services,2011-11-10,611309,2551,Atkins Ltd,10067
EH - Env Protection,EH06,Dog warden services,Supplies & Services,2011-11-10,611341,1223.7,Barnewood Boarding Kennels,14674
Garden Waste Scheme,RY03,Waste Collection Biffa Variable Other,Third Party Payments,2011-11-10,611321,2283.47,Biffa,10778
Refuse Collection Contract,RC01,Waste Collection Biffa Variable Other,Third Party Payments,2011-11-10,611321,65518.05,Biffa,10778
Council Tax Admin,RB03,Capita Contract,Third Party Payments,2011-11-10,3026143,1492.91,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,2011-11-10,3026143,2336.21,Capita Business Services,10129
Brown Bins Project,RY04,Agency staff,Employees,2011-11-10,3026276,695.5,Champion Recruitment,10148
Brown Bins Project,RY04,Agency staff,Employees,2011-11-10,3026280,1137.21,Champion Recruitment,10148
Brown Bins Project,RY04,Agency staff,Employees,2011-11-10,3026287,1151.33,Champion Recruitment,10148
Brown Bins Project,RY04,Agency staff,Employees,2011-11-10,3026277,1428.84,Champion Recruitment,10148
Accountancy,AC01,Agency staff,Employees,2011-11-10,3026290,1650.2,Champion Recruitment,10148
Legal,LS01,Agency staff,Employees,2011-11-10,3026291,5040.41,Champion Recruitment,10148
Didcot Arts Centre,AR04,Maintenance contracts,Supplies & Services,2011-11-10,611204,1090,Eaton Environmental Services,13990
Facilities Management,FM01,Premises service charges,Premises,2011-11-10,3026159,-635,GDT Fire Alarm Services Ltd,14759
MFDS,CE11,Materials & consumables,Supplies & Services,2011-11-10,611326,772.9,Lyreco U K Ltd,10442
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-11-10,611343,2039.17,Macmillan Cancer Support - Oxon and Bucks,14910
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,2011-11-10,3026296,22562.74,Sundry Supplier,99999
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,2011-11-10,3026295,44295.07,Sundry Supplier,99999
Aston Rowant Parish Council,A220,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-12-10,3026268,5928,Aston Rowant Church Annexe Project,14849
Didcot Arts Centre,AR04,Contract Cleaning,Premises,2011-12-10,611352,1246.16,Calber Facilities Management Ltd,14490
Electoral Registration,RE01,Agency staff,Employees,2011-12-10,3026283,1229.86,Champion Recruitment,10148
Licences - Administration,LN01,Agency staff,Employees,2011-12-10,3026285,3512.09,Champion Recruitment,10148
"HR, IT & customer services",TR02,Staff training,Employees,2011-12-10,611355,1000,Chartered Instituted of Personnel and Develpment,13982
Upgrade GIS,A088,Staff training,Employees,2011-12-10,611351,1185,ESRI UK Ltd,10238
General Toilets,WC99,Contract Cleaning,Premises,2011-12-10,3026262,5942.92,Healthmatic Ltd 2010,14550
Street Naming and Numbering,SN01,Purchase of street furniture,Supplies & Services,2011-12-10,611166,999.02,Nibra Signs Ltd,10483
Development Management,DN01,Advertising,Supplies & Services,2011-12-10,611300,521.58,Penna Communications,14547
Development Management,DN01,Advertising,Supplies & Services,2011-12-10,611299,677.87,Penna Communications,14547
Policy Team,PP01,Subscriptions,Supplies & Services,2011-12-10,611320,9210,The Chilterns Conservation Board,10721
EH - Env Protection,EH06,Miscellaneous-Projects,Supplies & Services,2011-12-10,611350,5051.45,TRL Ltd,10763
Accounts Receivable,ES03,Capita Contract,Third Party Payments,13/10/2011,611364,607.6,Capita Business Services,10129
Cash Office,ES01,Capita Contract,Third Party Payments,13/10/2011,611363,1904.18,Capita Business Services,10129
Accounts Payable,ES02,Capita Contract,Third Party Payments,13/10/2011,611363,2102.02,Capita Business Services,10129
Accounts Receivable,ES03,Capita Contract,Third Party Payments,13/10/2011,611363,2509.7,Capita Business Services,10129
Concessionary Fares Agency,RB06,Capita Contract,Third Party Payments,13/10/2011,611361,2567,Capita Business Services,10129
Payroll,PY01,Capita Contract,Third Party Payments,13/10/2011,611363,2982.16,Capita Business Services,10129
General Ledger,AC02,Capita Contract,Third Party Payments,13/10/2011,611363,3945.79,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,13/10/2011,611365,4392.92,Capita Business Services,10129
NNDR Admin,RB02,Capita Contract,Third Party Payments,13/10/2011,611363,7622.65,Capita Business Services,10129
Council Tax Admin,RB03,Capita Contract,Third Party Payments,13/10/2011,611363,45660.42,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,13/10/2011,611363,71048.19,Capita Business Services,10129
Policy Team,PP01,Agency staff,Employees,13/10/2011,611358,2544.9,Don Newling,14887
Policy Team,PP01,Agency staff,Employees,13/10/2011,611359,2587.3,Don Newling,14887
Car Parks Holding Account,X805,Henley / OCC Car parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,13/10/2011,3026297,13498.9,Henley On Thames Town Council,10316
Policy Team,PP01,Consultants-Projects,Supplies & Services,13/10/2011,611293,5750,Mrs Suzanne Ware,13369
EH - Env Protection,EH06,Dog warden services,Supplies & Services,13/10/2011,611360,1043,Noahs Ark Environmental Services Ltd,14716
EH - Env Protection,EH06,Consultants-Projects,Supplies & Services,14/10/2011,3026270,-646,Atkins Ltd,10067
Didcot Arts Centre,AR04,Contract Cleaning,Premises,14/10/2011,611281,1557.7,Calber Facilities Management Ltd,14490
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,14/10/2011,3026313,2022.32,Global Crossing UK Telecommunications Ltd,13409
Facilities Management,FM01,Maintenance contracts,Supplies & Services,14/10/2011,611381,567.69,MJF Corporate Guarding Ltd,13500
Internet/Intranet,CE62,Software support and maintenance,Supplies & Services,14/10/2011,611383,808.26,Verizon UK Ltd,10780
Internet/Intranet,CE62,Software support and maintenance,Supplies & Services,14/10/2011,611384,877.02,Verizon UK Ltd,10780
Henley Leisure Centre Refurbishment,X157,Other professional services,Appropriations and other non Cipfa Sub Group Accounts,17/10/2011,611402,1250,QUANTEM CONSULTING LLP,10903
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,17/10/2011,3026329,964.07,Sundry Supplier,99999
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,17/10/2011,3026330,1770.95,Sundry Supplier,99999
Corporate Training,TR12,Staff training,Employees,18/10/2011,611421,3484.8,3C Associates Ltd,11607
"HR, IT & customer services",TR02,Staff training,Employees,18/10/2011,611393,790,Advance Business Solutions,12588
Personnel Administration,AD02,Consultants-Projects,Supplies & Services,18/10/2011,611387,3244,Advance Business Solutions,12588
Fit for the Future,CZ02,Fees and hired services,Supplies & Services,18/10/2011,611394,15600,Alexander,11801
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,18/10/2011,611404,26275,Catalyst Housing Group,12412
EH - Env Protection,EH06,Consultants-Projects,Supplies & Services,18/10/2011,611418,10792,Ecus Ltd,10220
Housing Act Works (was HAW Nuffield),HA01,Repairs & Maintenance of Grounds,Premises,18/10/2011,611223,549.48,G BURLEY and SONS LTD,10901
Other Cemeteries,CM99,Grounds Maintenance Contract,Third Party Payments,18/10/2011,611223,747.15,G BURLEY and SONS LTD,10901
Kidmore End Cemetery,CM02,Grounds Maintenance Contract,Third Party Payments,18/10/2011,611223,3033.43,G BURLEY and SONS LTD,10901
Wallingford Cemetery,CM03,Grounds Maintenance Contract,Third Party Payments,18/10/2011,611223,3297.25,G BURLEY and SONS LTD,10901
Parks and Open Spaces,OP01,Grounds Maintenance Contract,Third Party Payments,18/10/2011,611223,11640.07,G BURLEY and SONS LTD,10901
Economic Development,ED00,Miscellaneous-Projects,Supplies & Services,18/10/2011,611403,1250,QandA,11679
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,18/10/2011,3026332,4196.22,Sundry Supplier,99999
Didcot Broadway West,CP21,Payments to joint authorities,Third Party Payments,18/10/2011,611419,2887.65,Vale of White Horse District Council,10774
EH - Administration,EH01,Maintenance of equipment,Supplies & Services,19/10/2011,611416,884.75,Campbell Associates Ltd,10127
Customer Contact (Was Contact Centre),CZ01,Professional,Supplies & Services,19/10/2011,611362,5999.55,Capita Business Services,10129
Licences - Administration,LN01,Agency staff,Employees,19/10/2011,3026279,639.29,Champion Recruitment,10148
CCTV,TV01,Maintenance contracts,Supplies & Services,19/10/2011,611346,4625,COMPUTERISED and DIGITAL SECURITY SYSTEMS LTD,10140
Commercial Sites,MP11,Service Charges,Income,19/10/2011,3026346,-520.02,Hammersons Didcot Ltd,13624
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,19/10/2011,3026336,1540,Letting and Property Management,10422
Policy & Community Engagement,CB01,Climate Corporate Planning,Supplies & Services,19/10/2011,611400,1100,Monson Engineering Ltd,14359
Land Charges,LC01,Payments to other local authorities,Third Party Payments,19/10/2011,610800,1145,Ocella,10502
Commercial Sites,MP11,Repairs and maintenance to land and buildings,Premises,19/10/2011,611313,800,Proelec Installations Ltd,10562
Internet/Intranet,CE62,Software support and maintenance,Supplies & Services,19/10/2011,611439,1342.52,Siteimprove Ltd,14162
Didcot Arts Centre,AR04,Electricity,Premises,19/10/2011,3026342,2088.98,Southern Electric plc,10665
Commercial Sites,MP11,Land & Building Acquisition costs,Premises,19/10/2011,3026339,7500,Sundry Supplier,99999
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,19/10/2011,3026350,-850,Sundry Supplier,99999
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,19/10/2011,3026318,850,Sundry Supplier,99999
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,19/10/2011,3026353,850,Sundry Supplier,99999
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,19/10/2011,3026333,914,Sundry Supplier,99999
Rent Deposit Scheme,HM02,Compensation to third parties,Supplies & Services,19/10/2011,3026347,1950,Sundry Supplier,99999
Didcot Arts Centre,AR04,Gas,Premises,19/10/2011,3026341,520.32,SWALEC,10686
Partnerships and community safety,DR01,Grants,Supplies & Services,19/10/2011,611245,24015.33,Thames Valley Police Authority,10709
Land Charges,LC01,Fees and charges income,Income,20/10/2011,611454,550.56,Oxfordshire County Council,13934
Didcot Arts Centre,AR04,Repairs & Maintenance of Fixtures & Fittings,Premises,20/10/2011,611450,550.9,Proelec Installations Ltd,10562
PC & Intelligent Terminals,CE10,Software purchase & licence,Supplies & Services,20/10/2011,611453,3300,RandomStorm Limited,14901
Didcot Arts Centre,AR04,Repairs & Maintenance of Fixtures & Fittings,Premises,20/10/2011,611445,665.9,Sharp and Howse,13258
Computer Administration,CE99,Subscriptions,Supplies & Services,20/10/2011,611446,890,Socitm Limited,10647
Housing Act Works (was HAW Nuffield),HA01,Maintenance of equipment,Supplies & Services,20/10/2011,611455,2245,Soma Services Limited,11300
Didcot Arts Centre,AR04,Contract Cleaning,Premises,21/10/2011,3026367,1557.7,Calber Facilities Management Ltd,14490
Corporate Training,TR12,Staff training,Employees,21/10/2011,3026356,550,EHRB,13103
Didcot Arts Centre,AR04,Premises service charges,Premises,21/10/2011,3026273,-509.18,Hammersons Didcot Ltd,13624
PC & Intelligent Terminals,CE10,Computer Maintenance of hardware,Supplies & Services,21/10/2011,611458,618.7,Oce UK Limited,10501
PC & Intelligent Terminals,CE10,Computer Maintenance of hardware,Supplies & Services,21/10/2011,611459,762.42,Oce UK Limited,10501
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,21/10/2011,611464,2500,Opera Della Luna,13313
Conservation and Design,CN01,Agency staff,Employees,21/10/2011,611465,3017.7,The Conservation Studio Ltd,14725
Economic Development,ED00,Miscellaneous-Projects,Supplies & Services,21/10/2011,611468,599.19,TwentyTwenty Solutions Ltd,14892
Goldsmiths Lane Car Park Wallingford,CP12,Management and admin recharges,Supplies & Services,21/10/2011,3026361,1070.52,Wallingford Town Council,10792
Goldsmiths Lane Car Park Wallingford,CP12,Management and admin recharges,Supplies & Services,21/10/2011,3026360,1205.3,Wallingford Town Council,10792
MFDS,CE11,Computer supplies,Supplies & Services,22/10/2011,611494,4069.83,Danwood Group Ltd,14607
MFDS,CE11,Computer supplies,Supplies & Services,22/10/2011,611495,8191.06,Danwood Group Ltd,14607
PCs - new and upgrades,X116,Purchase of IT hardware,Appropriations and other non Cipfa Sub Group Accounts,22/10/2011,611498,2874.8,Dell Corporation Ltd,10193
Didcot Arts Centre,AR04,Hire of equipment,Supplies & Services,22/10/2011,611497,580,Piano Gallery,14919
Electoral Registration,RE01,Communications - Postages,Supplies & Services,22/10/2011,611417,3245.87,Print Image Network Ltd,14610
Revenues Client,RB04,Capita Contract,Third Party Payments,25/10/2011,3026315,21899.31,Capita Business Services,10129
CIF grants - 10/11 delegated powers,A199,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,25/10/2011,3026323,11999,Chalgrove Parish Council,10145
CIF grants - 10/11 delegated powers,A199,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,25/10/2011,3026379,4060,Chinnor Rugby Football Club Ltd,14891
Didcot Arts Centre,AR04,Repairs & Maintenance of Fixtures & Fittings,Premises,25/10/2011,611504,615,Lantec Security,14424
Dual Use OCC,X800,Park (Wheatley) Dual Use,Appropriations and other non Cipfa Sub Group Accounts,25/10/2011,3026345,3301,Oxfordshire County Council,10845
Dual Use OCC,X800,Didcot OCC Dual Use,Appropriations and other non Cipfa Sub Group Accounts,25/10/2011,3026345,5678,Oxfordshire County Council,10845
Dual Use OCC,X800,Henley OCC Dual Use,Appropriations and other non Cipfa Sub Group Accounts,25/10/2011,3026345,7909,Oxfordshire County Council,10845
Dual Use OCC,X800,Thames OCC Dual Use,Appropriations and other non Cipfa Sub Group Accounts,25/10/2011,3026345,9074,Oxfordshire County Council,10845
Dual Use OCC,X800,Abbey OCC Dual Use,Appropriations and other non Cipfa Sub Group Accounts,25/10/2011,3026345,21937,Oxfordshire County Council,10845
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,25/10/2011,3026381,32455.2,Sundry Supplier,99999
External Audit,AU02,Audit Fees,Supplies & Services,25/10/2011,611382,35959.5,The Audit Commission,10716
EH - Env Protection,EH06,Consultants-Projects,Supplies & Services,26/10/2011,611310,2360,Atkins Ltd,10067
Policy Team,PP01,Agency staff,Employees,26/10/2011,3026286,2216.04,Champion Recruitment,10148
S106 Receipts,X850,Other S106 Developers Contributions,Appropriations and other non Cipfa Sub Group Accounts,26/10/2011,3026380,26742.47,Chinnor Rugby Football Club Ltd,14891
MFDS,CE11,Materials & consumables,Supplies & Services,26/10/2011,611519,740.9,Lyreco U K Ltd,10442
Street Naming and Numbering,SN01,Purchase of street furniture,Supplies & Services,26/10/2011,611517,1407.52,Nibra Signs Ltd,10483
Development Management,DN01,Advertising,Supplies & Services,26/10/2011,611485,1558.87,Penna Communications,14547
Policy & Community Engagement,CB01,Cosultation Corparate Strategy,Supplies & Services,26/10/2011,611469,3400,Plus Four Market Research LTD,12890
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,26/10/2011,3026407,650,Sundry Supplier,99999
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,26/10/2011,3026406,619.62,TalkTalk,10545
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,26/10/2011,3026391,1550.95,Vodafone Limited Corporate,10784
Commercial Sites,MP11,Gas,Premises,27/10/2011,3025901,1528.9,British Gas Trading Ltd,13816
Legal,LS01,Legal services,Supplies & Services,27/10/2011,611521,1500,Miss Sunyana Sharma,13311
Economic Development,ED00,Miscellaneous-Projects,Supplies & Services,27/10/2011,611534,2500,QandA,11679
